data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8014941,854,BFO4099,4099,9-Oct-20,2020,1,Riots,Mob violence,Rioters (Burkina Faso),Labour Group (Burkina Faso),5,Rioters (Burkina Faso),Labour Group (Burkina Faso),5,55,Western Africa,Burkina Faso,Sahel,Seno,Dori,Dori,14.04,-0.03,1,Facebook; Infowakat; Whatsapp,New media-National,"On 9 October 2020, a number of merchants fought with machetes at the cattle market in Dori (Dori, Seno). Three people were killed. [size=at least 3]",3,1622068043,BFA
8015013,854,BFO4097,4097,5-Oct-20,2020,1,Violence against civilians,Attack,Koglweogo Militia,Unidentified Communal Militia (Burkina Faso); Farmers (Burkina Faso),3,Civilians (Burkina Faso),Fulani Ethnic Group (Burkina Faso); Pastoralists (Burkina Faso),7,37,Western Africa,Burkina Faso,Boucle du Mouhoun,Sourou,Lankoue,Lankoue,13.248,-2.5843,1,Berger sahelien infos,New media,"On 5 October 2020, farmers and Koglweogo shot and wounded a young man of the Fulani community after surrounding the village of Lankoue (Lankoue, Sourou).",0,1622068043,BFA
8015439,854,BFO4121,4121,15-Sep-20,2020,1,Violence against civilians,Abduction/forced disappearance,Military Forces of Burkina Faso (2015-),,1,Civilians (Burkina Faso),,7,17,Western Africa,Burkina Faso,Sahel,Seno,Dori,Dori,14.04,-0.03,1,UNHCR,Other,"On 15 September 2020, Burkinabe forces arrested an individual in Dori (Dori, Seno) for unknown reasons, in what was described as an abduction or forceful disappearance.",0,1622068044,BFA
8015465,854,BFO4423,4423,14-Sep-20,2020,1,Violence against civilians,Attack,VDP: Volunteer for Defense of Homeland,,4,Civilians (Burkina Faso),Farmers (Burkina Faso),7,47,Western Africa,Burkina Faso,Sahel,Soum,Arbinda,Djika,14.0482,-0.7166,1,Wakat Sera,National,"On 14 September 2020, volunteer fighters (VDP) assaulted and shot and killed a farmer in Djika (Arbinda, Soum).",1,1622068044,BFA
8016061,854,BFO3962,3962,13-Aug-20,2020,1,Strategic developments,Looting/property destruction,JNIM: Group for Support of Islam and Muslims and/or Islamic State (West Africa) - Greater Sahara Faction,,2,Civilians (Burkina Faso),Farmers (Burkina Faso),7,27,Western Africa,Burkina Faso,Centre-Nord,Sanmatenga,Dablo,Dablo,13.7133,-1.1791,2,Sidwaya,New media,"On 13 August 2020, suspected ISGS or JNIM militants seized 5 tricycles from farmers near Dablo (Dablo, Sanmatenga).",0,1622068045,BFA
8016522,854,BFO3913,3913,22-Jul-20,2020,1,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims and/or Islamic State (West Africa) - Greater Sahara Faction,,2,Civilians (Burkina Faso),Farmers (Burkina Faso),7,27,Western Africa,Burkina Faso,Sahel,Soum,Djibo,Bani,14.0153,-1.7008,2,Whatsapp,New media,"On 22 July 2020, suspected JNIM or ISGS militants shot and wounded a farmer near the village of Bani (Pobe-Mengao-Soum, Sahel).",0,1622068047,BFA
8016667,854,BFO4082,4082,15-Jul-20,2020,1,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims and/or Islamic State (West Africa) - Greater Sahara Faction,,2,Civilians (Burkina Faso),Farmers (Burkina Faso),7,27,Western Africa,Burkina Faso,Est,Gourma,Matiacoali,Nagnoundougou,12.4564,0.9279,1,UNHCR,Other,"On 15 July 2020, suspected JNIM or ISGS militants killed a farmer in Nagnoundougou (Matiacoali, Gourma).",1,1622068047,BFA
8016867,854,BFO3875,3875,6-Jul-20,2020,1,Riots,Violent demonstration,Rioters (Burkina Faso),,5,Police Forces of Burkina Faso (2015-),,1,15,Western Africa,Burkina Faso,Hauts-Bassins,Houet,Bama,Bama,11.3996,-4.4293,1,Le Pays; Ouest Info,Subnational-National,"On 6 July 2020, a number of residents staged a demonstration in reaction to land subdivision and plot development project in Bama (Bama, Houet) and demanded the closure of the mayor's office which they accused was causing ethnic division due the project. Policemen intervened and fired teargas against the demonstrators who responded by throwing stones. [size=no report]",0,1622068047,BFA
8017810,854,BFO3747,3747,16-May-20,2020,1,Battles,Armed clash,Gourmantche Ethnic Militia (Burkina Faso),Farmers (Burkina Faso),4,Fulani Ethnic Militia (Burkina Faso),Pastoralists (Burkina Faso),4,44,Western Africa,Burkina Faso,Est,Tapoa,Botou,Botou,12.6631,2.0536,2,Whatsapp,New media,"On 16 May 2020, Gourmantche farmers and Fulani pastoralists clashed in the commune of Botou (Kantchari, Tapoa), leaving four wounded.",0,1622068050,BFA
8018383,854,BFO3642,3642,11-Apr-20,2020,1,Battles,Armed clash,Karaboro Communal Militia (Burkina Faso),,4,Mossi Ethnic Militia (Burkina Faso),,4,44,Western Africa,Burkina Faso,Cascades,Comoe,Sideradougou,Sideradougou,10.6757,-4.2575,1,PANAPRESS; L'Observateur Paalga,National-Regional,"On 11 April 2020, four people were killed amid a land dispute between locals from Karaboro and ethnic Mossi in Sideradougou (Sideradougou, Comoe).",4,1622068106,BFA
8018727,854,BFO3587,3587,21-Mar-20,2020,1,Strategic developments,Other,Government of Burkina Faso (2015-),,1,,,0,10,Western Africa,Burkina Faso,Centre,Kadiogo,Ouagadougou,Ouagadougou,12.3703,-1.5247,3,Intercept; Wakat Sera; Le Pays; Actu Burkina,National-International,"On 21 March 2020, the government of Burkina Faso closed the country's land borders and airspace, imposing a nightly curfew across the territory in response to the coronavirus crisis.",0,1622068107,BFA
8018927,854,BFO3556,3556,8-Mar-20,2020,1,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims and/or Islamic State (West Africa) - Greater Sahara Faction,,2,Civilians (Burkina Faso),Labour Group (Burkina Faso),7,27,Western Africa,Burkina Faso,Sahel,Seno,Dori,Dori,14.04,-0.03,2,Infowakat,National,"On 8 March 2020, presumed ISGS or JNIM militants attacked and burned a fuel tanker between Dori and Essakane (Dori, Oudalan). No casualties reported.",0,1622068108,BFA
8018971,854,BFO3541,3541,7-Mar-20,2020,1,Protests,Peaceful protest,Protesters (Burkina Faso),Labour Group (Burkina Faso),6,,,0,60,Western Africa,Burkina Faso,Sahel,Seno,Dori,Dori,14.04,-0.03,1,Le Faso,National,"On 7 March 2020, dozens of workers and unionists staged a sit-in in Dori (Dori, Seno), denouncing the application of the single tax (IUTS) for the processing of salaries, bonuses, and allowances. [size=dozens]",0,1622068108,BFA
8019183,854,BFO3509,3509,22-Feb-20,2020,1,Battles,Armed clash,Gourmantche Ethnic Militia (Burkina Faso),,4,Fulani Ethnic Militia (Burkina Faso),Pastoralists (Burkina Faso),4,44,Western Africa,Burkina Faso,Est,Tapoa,Namouno,Namounou,11.8606,1.6992,2,Infowakat,National,"On 22 February 2020, several people were wounded in the village of Poperi (coded as Namounou at geoprecision 2) amidst intercommunal violence due to a conflict over land usage between Gourmantche agriculturalists and Fulani pastoralists.",0,1622068109,BFA
8019481,854,BFO3477,3477,7-Feb-20,2020,1,Battles,Armed clash,VDP: Volunteer for Defense of Homeland,,4,JNIM: Group for Support of Islam and Muslims and/or Islamic State (West Africa) - Greater Sahara Faction,,2,24,Western Africa,Burkina Faso,Sahel,Soum,Pobe-Mengao,Gargaboule,13.8072,-1.7748,2,Whatsapp; Infowakat,New media-National,"On 7 February 2020, volunteer fighters (Volunteers for the Defense of the Homeland) reportedly killed twenty-two suspected ISGS or JNIM militants and seized one motorbike in the area of Gargaboule.",22,1622068111,BFA
8019491,854,BFO3476,3476,6-Feb-20,2020,1,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims and/or Islamic State (West Africa) - Greater Sahara Faction,,2,VDP: Volunteer for Defense of Homeland,,4,24,Western Africa,Burkina Faso,Sahel,Soum,Pobe-Mengao,Pobe Mengao,13.8997,-1.7656,2,Whatsapp,New media,"On 6 February 2020, presumed ISGS or JNIM militants reportedly attacked the village of Barakana, near Pobe-Mengao, and killed around ten volunteer fighters (Volunteers for the Defense of the Homeland), and seized arms and ammunition.",10,1622068111,BFA
8026197,854,BFO1154,1154,29-Sep-18,2018,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Burkina Faso),,3,,,0,30,Western Africa,Burkina Faso,Cascades,Leraba,Sindou,Dinaoro,10.7333,-5.2333,2,L'Observateur Paalga,National,"On September 29 and 30, a group of individuals armed with rifles and machetes destroyed 12 hectares of cashew fields in the area of Dinahoro (Dinaoro) claiming that fields belonged to their parents, while the elderly owner of the land also a native of the area stood idle by and watched helplessly.",0,1622068136,BFA
8028494,854,BFO982,982,16-Feb-18,2018,1,Riots,Violent demonstration,Rioters (Burkina Faso),,5,,,0,50,Western Africa,Burkina Faso,Est,Gourma,Matiacoali,Matiakoali,12.3548,1.0328,1,Menastream; Local Source,Local partner-New media,"Angry protesters stormed and closed down the mayor's office in Matiakoali, dissatisfied with how the mayor has handled the crisis surrounding grazing land in the area.",0,1622068182,BFA
8029482,854,BFO888,888,21-Sep-17,2017,1,Riots,Mob violence,Rioters (Burkina Faso),Farmers (Burkina Faso),5,Rioters (Burkina Faso),Pastoralists (Burkina Faso),5,55,Western Africa,Burkina Faso,Boucle du Mouhoun,Sourou,Toeni,Garkere,13.5639,-2.8903,1,Menastream,Local partner-New media,Communal violence between farmers and herders in Garkere leaves one dead and another severely wounded.,1,1622068184,BFA
8029728,854,BFO873,873,4-Aug-17,2017,1,Battles,Armed clash,Diebougou Communal Militia (Burkina Faso),,4,Unidentified Communal Militia (Burkina Faso),,4,44,Western Africa,Burkina Faso,Sud-Ouest,Bougouriba,Diebougou,Loto,10.9333,-3.2833,1,Xinhua; AIB (Burkina Faso),National-International,"Clashes between gold miners and land owners from the Diebougou region at at the Loto mining site, 5km from Diebougou in Bougouriba, in the south west of Burkina Faso, left one killed and 10 injured, including 3 severely. Material damage was also reported, including a truck that was burnt down.",1,1622068185,BFA
8029850,854,BFO850,850,15-Jul-17,2017,1,Protests,Peaceful protest,Protesters (Burkina Faso),,6,,,0,60,Western Africa,Burkina Faso,Centre,Kadiogo,Ouagadougou,Ouagadougou,12.3703,-1.5247,1,Burkina24,National,Zoetgomde village people interrupted a 'comunity day' going on in the Kinshasa neighbourhood to protest the expropriation and selling of their agricultural land.,0,1622068185,BFA
8029878,854,BFO848,848,11-Jul-17,2017,1,Battles,Armed clash,Fulani Ethnic Militia (Burkina Faso),Pastoralists (Burkina Faso),4,Doussoula Communal Militia (Burkina Faso),,4,44,Western Africa,Burkina Faso,Boucle du Mouhoun,Sourou,Kassoum,Doussoula,13.0696,-3.2628,1,International Crisis Group,Other,"Inhabitants fought Fulani herders after cattle damaged field in Doussoula, Sourou province in north west on 11 July. One killed.",1,1622068185,BFA
8030045,854,BFO835,835,13-Jun-17,2017,1,Protests,Peaceful protest,Protesters (Burkina Faso),,6,,,0,60,Western Africa,Burkina Faso,Centre,Kadiogo,Ouagadougou,Ouagadougou,12.3703,-1.5247,1,Sidwaya,New media,People went to the street and blocked traffic circulation to protest about a land issue.,0,1622068186,BFA
8030051,854,BFO833,833,11-Jun-17,2017,1,Violence against civilians,Attack,Unidentified Armed Group (Burkina Faso),,3,Civilians (Burkina Faso),,7,37,Western Africa,Burkina Faso,Sahel,Soum,Tongomayel,Inata,14.3358,-1.327,2,Radio Omega,National,A local council member and a farmer were killed by unidentified aggressors.,2,1622068186,BFA
8030165,854,BFO822,822,23-May-17,2017,1,Battles,Armed clash,Moba Ethnic Militia (Burkina Faso),,4,Yana Ethnic Militia (Burkina Faso),,4,44,Western Africa,Burkina Faso,Centre-Est,Koulpelogo,Sangha,Sangha,11.1768,0.1607,2,AIB (Burkina Faso),National,"In the Koyinga village of Sangha, clashes between the Moba and Yaana ethnies over a land conflict resulted in one dead, one wounded and several material damages",1,1622068186,BFA
8030245,854,BFO812,812,12-May-17,2017,1,Battles,Armed clash,Military Forces of Burkina Faso (2015-),,1,Ansaroul Islam,,2,12,Western Africa,Burkina Faso,Sahel,Seno,Dori,Dori,14.04,-0.03,1,Burkina24,National,Gorane Dicko member of Ansaroul Islam and relative of Harouna Dicko - killed in March - was 'neutralised' by military forces.,1,1622068186,BFA
8031136,854,BFO722,722,8-Oct-16,2016,1,Strategic developments,Other,Former Military Forces of Burkina Faso (1987-2014),,1,Police Forces of Burkina Faso (2015-),Military Forces of Burkina Faso (2015-),1,11,Western Africa,Burkina Faso,Centre,Kadiogo,Ouagadougou,Ouagadougou,12.3703,-1.5247,1,Sidwaya,New media,"Non-violent activity: Burkina Fasos Minister of Territorial Administration, Decentralization and Homeland Security claims that a coup attempt was foiled on Oct.8 which had been organized by members of the disbanded Presidential Security Regiment. Members of the former regiment who did not participate allegedly informed the government about the plan.",0,1622068188,BFA
8032379,854,BFO580,580,16-Sep-15,2015,1,Strategic developments,Other,Military Forces of Burkina Faso (2014-2015) Presidential Security Unit,CND: National Council for Democracy,1,Government of Burkina Faso (2014-2015),,1,11,Western Africa,Burkina Faso,Centre,Kadiogo,Ouagadougou,Ouagadougou,12.3703,-1.5247,1,Xinhua; AP; AFP; Media Foundation for West Africa,Regional-International,"Non-violent activity: The Presidential Security Unit took hostage Prime Minister Zida, President Kafando, and two ministers and set up barricades around the presidential palace. The hostages were released late the following day and the president security unit announced it had taken control of the country in a coup. They named themselves the National Council for Democracy and declared General Gilbert Diendere their leader. The closed land and air borders for 24 hours and put a curfew in effect.",0,1622068190,BFA
8032512,854,BFO567,567,31-Jul-15,2015,1,Riots,Violent demonstration,Rioters (Burkina Faso),,5,Police Forces of Burkina Faso (2014-2015),,1,15,Western Africa,Burkina Faso,Sahel,Seno,Dori,Dori,14.04,-0.03,2,Sidwaya,New media,"Protesters from Falangoutou, Gorom-Gorom, Essakane and Markoye came together to demonstrate against the employment practices of the IAMGOLD mining company. At least 28 were arrested for vandalism and destruction of property.",0,1622068191,BFA
8032759,854,BFO543,543,22-Apr-15,2015,1,Riots,Mob violence,Rioters (Burkina Faso),Pastoralists (Burkina Faso); Farmers (Burkina Faso),5,Police Forces of Burkina Faso (2014-2015),,1,15,Western Africa,Burkina Faso,Plateau-Central,Oubritenga,Ziniare,Ziniare,12.5875,-1.2983,2,Le Pays; PANAPRESS,National-Regional,An ongoing dispute between farmers and herders in a village near Ziniare led to riots where property was burned and some livestock killed. Police intervened with teargas and arrested three.,0,1622068191,BFA
8033056,854,BFO507,507,26-Jan-15,2015,1,Protests,Peaceful protest,Protesters (Burkina Faso),,6,,,0,60,Western Africa,Burkina Faso,Cascades,Comoe,Niangoloko,Niangoloko,10.2824,-4.9165,1,Sidwaya,New media,300 people demonstrated against the damage elephants cause to their farms.,0,1622068192,BFA
8033409,854,BFO477,477,30-Oct-14,2014,1,Protests,Peaceful protest,Protesters (Burkina Faso),,6,,,0,60,Western Africa,Burkina Faso,Sahel,Seno,Dori,Dori,14.04,-0.03,1,Xinhua; Sidwaya,New media-International,Protests in Dori on Oct. 30 to prevent parliament from voting on a constitutional amendment to the presidential two-term limit.,0,1622068194,BFA
8033810,854,BFO436,436,7-Jul-14,2014,1,Battles,Armed clash,Unidentified Communal Militia (Burkina Faso),Farmers (Burkina Faso),4,Unidentified Communal Militia (Burkina Faso),Pastoralists (Burkina Faso),4,44,Western Africa,Burkina Faso,Centre-Sud,Nahouri,Tiebele,Tiebele,11.0972,-0.9656,2,Fasozine,National,Five people were killed and eight others injured during a conflict between farmers and herders,5,1622068196,BFA
8034011,854,BFO426,426,22-May-14,2014,1,Protests,Peaceful protest,Protesters (Burkina Faso),,6,,,0,60,Western Africa,Burkina Faso,Cascades,Comoe,Banfora,Banfora,10.6333,-4.7667,1,Sidwaya,New media,Dozens of protesters demonstrated outside the Banfora courthouse to demand the release of their imprisoned land chief following a court decision related to a land dispute,0,1622068196,BFA
8034151,854,BFO413,413,26-Apr-14,2014,1,Violence against civilians,Attack,Mossi Ethnic Militia (Burkina Faso),,4,Civilians (Burkina Faso),Fulani Ethnic Militia (Burkina Faso); Police Forces of Burkina Faso (1987-2014),7,47,Western Africa,Burkina Faso,Centre-Nord,Sanmatenga,Mane,Mane,12.9879,-1.3387,1,Sidwaya,New media,"A band of armed men attacked three concessions of a Fulani herding family, killing one and injuring two; they used a shotgun and drove away; it is believed the attack was related to a land dispute between the family living on the land and the unidentified assailants (believed to be part of the Mossi ethnic group)",1,1622068196,BFA
8034660,854,BFO381,381,22-Jan-14,2014,1,Battles,Armed clash,Fulani Ethnic Militia (Burkina Faso),Pastoralists (Burkina Faso),4,Mossi Ethnic Militia (Burkina Faso),,4,44,Western Africa,Burkina Faso,Centre-Est,Boulgou,Tenkodogo,Tenkodogo,11.77,-0.36,1,Sidwaya,New media,"Clashes between Fulani herders and Mossi farmers left one dead, four injured, and extensive damages to property",1,1622068197,BFA
8035205,854,BFO362,362,16-Sep-13,2013,1,Protests,Peaceful protest,Protesters (Burkina Faso),,6,,,0,60,Western Africa,Burkina Faso,Centre-Ouest,Boulkiemde,Kindi,Kindi,12.4386,-2.0328,1,L'Observateur Paalga,National,Protesters closed the town hall for one day to protest against the attribution of a piece of land to the mayor son.,0,1622068198,BFA
8035309,854,BFO360,360,19-Aug-13,2013,1,Protests,Peaceful protest,Protesters (Burkina Faso),,6,,,0,60,Western Africa,Burkina Faso,Centre-Ouest,Boulkiemde,Kindi,Kindi,12.4386,-2.0328,1,Le Pays,National,Protest against the attribution of a sacred land/forest to the mayors son,0,1622068199,BFA
8035856,854,BFO329,329,30-Dec-12,2012,2,Battles,Armed clash,Bissa Ethnic Militia (Burkina Faso),Farmers (Burkina Faso),4,Fula Ethnic Militia (Burkina Faso),Pastoralists (Burkina Faso),4,44,Western Africa,Burkina Faso,Centre-Est,Boulgou,Zabre,Zabre,11.1833,-0.6333,1,AFP,International,Bissa farmers clashed with Fula herders in Zabre in a competition for disputed land. 7 killed.,7,1622068200,BFA
8036089,854,BFO307,307,18-Sep-12,2012,1,Protests,Peaceful protest,Protesters (Burkina Faso),,6,,,0,60,Western Africa,Burkina Faso,Plateau-Central,Kourweogo,Bousse,Bousse,12.6606,-1.8922,1,Le Pays,National,Farmers in Bousse protested against actions of ranchers who they say are allowing their animals to graze in their fields.,0,1622068200,BFA
8036171,854,BFO294,294,4-Aug-12,2012,1,Riots,Violent demonstration,Rioters (Burkina Faso),,5,,,0,50,Western Africa,Burkina Faso,Sud-Ouest,Poni,Gaoua,Gaoua,10.33,-3.18,2,L'Observateur Paalga,National,A large group of people from the village of Holly protested and destroyed property of another villager over disagreements on land rights.,0,1622068201,BFA
8036183,854,BFO292,292,23-Jul-12,2012,1,Violence against civilians,Attack,Kantchari Communal Militia (Burkina Faso),Farmers (Burkina Faso),4,Civilians (Burkina Faso),Hausa Ethnic Group (Burkina Faso),7,47,Western Africa,Burkina Faso,Est,Tapoa,Kantchari,Kantchari,12.4756,1.5116,1,L'Observateur Paalga,National,A Hausa farmer was killed by a herder after a dispute related to livestock moving through the farmer's fields in Kantchari.,1,1622068201,BFA
8036184,854,BFO293,293,23-Jul-12,2012,1,Riots,Mob violence,Rioters (Burkina Faso),Farmers (Burkina Faso),5,Police Forces of Burkina Faso (1987-2014),,1,15,Western Africa,Burkina Faso,Est,Tapoa,Kantchari,Kantchari,12.4756,1.5116,1,Sidwaya; L'Observateur Paalga,New media-National,"Following the death of a farmer at the hands of a herder in the Kantchari area, other farmers organized a manhunt to hunt the culprit and burn the houses of farmers in the area. Police intervened to limit the damage.",0,1622068201,BFA
8036615,854,BFO259,259,1-Dec-11,2011,1,Battles,Armed clash,Bombore Communal Militia (Burkina Faso),,4,Fulani Ethnic Militia (Burkina Faso),Pastoralists (Burkina Faso),4,44,Western Africa,Burkina Faso,Plateau-Central,Ganzourgou,Mogtedo,Mogtedo,12.2844,-0.8372,1,Sidwaya,New media,A clash was reported between farmers in Bombore and Fulani herders in the Mogtedo municipality. A Fulani herder was hit in the head by a machete during the incident before other Fulani drove off Bombore attackers. The cause of the incident was allegedly some livestock crossing a farmers field.,0,1622068202,BFA
8036694,854,BFO257,257,14-Jul-11,2011,1,Riots,Violent demonstration,Rioters (Burkina Faso),,5,Police Forces of Burkina Faso (1987-2014),,1,15,Western Africa,Burkina Faso,Hauts-Bassins,Kenedougou,Ndorola,NDorola,11.76,-4.81,1,Xinhua,International,The Security Forces of Burkina Faso broke up a protest by farmers leaving many people injured.,0,1622068202,BFA
8036736,854,BFO240,240,30-May-11,2011,1,Riots,Violent demonstration,Rioters (Burkina Faso),Military Forces of Burkina Faso (1987-2014),5,,,0,50,Western Africa,Burkina Faso,Sahel,Seno,Dori,Dori,14.04,-0.03,1,AFP,International,"Stray bullets injured three civilians overnight when soldiers rioted in the streets to make pay demands in the northern Burkina Faso town of Dori, a medical source said.",0,1622068202,BFA
8036739,854,BFO237,237,29-May-11,2011,1,Riots,Violent demonstration,Rioters (Burkina Faso),Mutiny of Military Forces of Burkina Faso (1987-2014),5,,,0,50,Western Africa,Burkina Faso,Sahel,Seno,Dori,Dori,14.04,-0.03,1,L'Observateur Paalga,National,"New instances of mutinying and soldiers leaving their barracks were reported in Tenkodogo, Kaya, Dori and Dedougou. The soldiers are demanding better living and working conditions.",0,1622068202,BFA
8036817,854,BFO181,181,14-Apr-11,2011,1,Protests,Peaceful protest,Protesters (Burkina Faso),,6,,,0,60,Western Africa,Burkina Faso,Centre,Kadiogo,Ouagadougou,Ouagadougou,12.3703,-1.5247,3,AFP,International,Thousands of people across the landlocked African country marched in protest against Compaores regime during the day.,0,1622068202,BFA
8036888,854,BFO132,132,7-Mar-11,2011,2,Riots,Violent demonstration,Rioters (Burkina Faso),Students (Burkina Faso),5,Police Forces of Burkina Faso (1987-2014),,1,15,Western Africa,Burkina Faso,Sahel,Seno,Dori,Dori,14.04,-0.03,1,AFP,International,"Suspected student protesters also set fire to police stations in Gourcy in the north and in Dori in the northeast, said a resident.",0,1622068202,BFA
