Year,Date,Time,Low Elev (ft),Date,Time,High Elev (ft),,,,,,,,,,,,,,,,,,,
2002,31-Dec,1900,1152.1,28-Jan,400,1178.04,,,,,,,,,,,,,,,,,,,
2003,30-Dec,2300,1139.04,8-Mar,1700,1154.63,,,,,,,,,,,,,,,,,,,
2004,31-Jul,2100,1125.69,25-Jan,1800,1140.58,,,,,,,,,,,,,,,,,,,
2005,1-Jan,1,1130.01,29-Mar,700,1147.8,,,,,,,,,,,,,,,,,,,
2006,3-Oct,2300,1125.14,27-Feb,900,1141.39,,,,,,,,,,,,,,,,,,,
2007,4-Oct,2300,1110.18,14-Feb,500,1130.03,,,,,,,,,,,,,,,,,,,
2008,31-Jul,2300,1104.41,11-Mar,700,1117.96,,,,,,,,,,,,,,,,,,,
2009,6-Nov,2300,1093.2,25-Jan,2100,1112.66,,,,,,,,,,,,,,,,,,,
2010,27-Nov,2100,1081.85,26-Feb,200,1103.35,,,,,,,,,,,,,,,,,,,
2011,2-Jan,2100,1086.24,31-Dec,1800,1132.83,,,,,,,,,,,,,,,,,,,
2012,21-Nov,0,1114.98,22-Jan,1700,1134.56,,,,,,,,,,,,,,,,,,,
2013,12-Nov,2200,1103.79,5-Feb,400,1122.72,,,,,,,,,,,,,,,,,,,
2014,13-Aug,2000,1080.19,2-Feb,1,1108.96,,,,,,,,,,,,,,,,,,,
2015,26-Jun,2300,1074.71,22-Jan,800,1089.32,,,,,,,,,,,,,,,,,,,
2016,1-Jul,2300,1071.61,18-Feb,500,1084.46,,,,,,,,,,,,,,,,,,,
2017,2-Aug,2200,1078.89,1-Mar,200,1089.8,,,,,,,,,,,,,,,,,,,
2018,11-Jul,2300,1076.38,12-Mar,1100,1088.35,,,,,,,,,,,,,,,,,,,
2019,1-Jan,0,1081.47,31-Dec,2300,1090.49,,,,,,,,,,,,,,,,,,,
2020,26-Nov,2300,1081.04,30-Mar,1600,1098.71,,,,,,,,,,,,,,,,,,,
2021,2-Dec,1700,1064.91,14-Feb,1400,1087.43,,,,,,,,,,,,,,,,,,,
